유통센터명,소재지도로명주소,소재지지번주소,위도,경도,주요품목명,설립연도,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
아우내농협 농산물종합유통센터,충청남도 천안시 동남구 병천면 유관순길 304-27,,,,오이+메론,2009,041-564-0664,충청남도 천안시청,2024-12-16,4490000,충청남도 천안시
인제농협산지유통센터,강원특별자치도 인제군 북면 갈골로 24-57,강원특별자치도 인제군 북면 원통리 1233번지,38.1165088107,128.2076400402,"고추류, 파프리카",2013,033-460-0917,강원특별자치도 인제군청,2024-12-13,4331000,강원특별자치도 인제군
기린농협산지유통센터,강원특별자치도 인제군 상남면 상남로 37,강원특별자치도 인제군 상남면 상남리 124-4번지,37.8726794165,128.2594474773,"고추류, 감자",2014,033-461-5085,강원특별자치도 인제군청,2024-12-13,4331000,강원특별자치도 인제군
북창원농협,경상남도 창원시 의창구 북면 신촌본포로 56,경상남도 창원시 의창구 북면 신촌리 1663-2,35.3455092289,128.6126703217,단감+자두,2010,055-298-1876,경상남도 창원시,2025-02-14,5670000,경상남도 창원시
대산농협,경상남도 창원시 의창구 동읍 동읍로 1063,경상남도 창원시 의창구 동읍 봉곡리 377,35.3442483444,128.6581345555,풋고추+파프리카,2008,055-291-6998,경상남도 창원시,2025-02-14,5670000,경상남도 창원시
동읍농협,경상남도 창원시 의창구 대산면 진산대로 506번길 2,경상남도 창원시 의창구 대산면 가술리 1,35.3445224205,128.7101376990,단감+당근,1993,055-291-3460,경상남도 창원시,2025-02-14,5670000,경상남도 창원시
배방농협 산지유통센터,충청남도 아산시 배방읍 세교길 232-55,충청남도 아산시 배방읍 세교리 1251-1,36.76299731,127.09543958,오이+가지,2022,041-533-0541,충청남도 아산시,2025-09-01,4520000,충청남도 아산시
영인농협 산지유통센터,충청남도 아산시 영인면 토정로 451,충청남도 아산시 영인면 신봉리 1260,36.89579500,126.97157720,양파+감자+대파+버섯,2019,041-545-5020,충청남도 아산시,2025-09-01,4520000,충청남도 아산시
경주시농산물산지유통센터,경상북도 경주시 고란길 27(효현동),경상북도 경주시 효현동 1082-17,35.82434907,129.152553,토마토+ 파프리카+ 배+ 새송이+ 체리+ 단감+ 사과+ 멜론+ 블루베리+ 만감,2006,054-779-6964,경상북도 경주시청 농업유통과,2025-08-21,5050000,경상북도 경주시
무주 농산물산지유통센터,전북특별자치도 무주군 무주읍 무주로 1739,전북특별자치도 무주군 무주읍 가옥리 300,35.975235,127.650987,복숭아+포도,2008,063-324-9411,전북특별자치도 무주군청,2025-08-18,4741000,전북특별자치도 무주군
안성 농산물산지유통센터,전북특별자치도 무주군 안성면 중산길 26,전북특별자치도 무주군 안성면 장기리 227-4,35.859895,127.6647857,사과+수박,2014,063-323-3912,무주농협,2025-08-18,4741000,전북특별자치도 무주군
설천 농산물산지유통센터,전북특별자치도 무주군 설천면 무설로 1254,전북특별자치도 무주군 설천면 청량리 733,36.015245,127.753686,복숭아+포도,2016,063-324-2507,구천동농협,2025-08-18,4741000,전북특별자치도 무주군
무풍 농산물산지유통센터,전북특별자치도 무주군 무풍면 삼도봉로 1077,전북특별자치도 무주군 무풍면 현내리 708-6,35.970084,127.842506,사과,2009,063-324-2509,전북특별자치도 무주군청,2025-08-18,4741000,전북특별자치도 무주군
사천시농협농산물산지유통센터(사천농협),경상남도 사천시 사천읍 구암두문로 155,경상남도 사천시 사천읍 구암리 1106-3,,,단감+애호박,2009,055-852-5005,경상남도 사천시청,2025-08-14,5340000,경상남도 사천시
정동농협농산물산지유통센터,경상남도 사천시 정동면 상정대로 2540-50,경상남도 사천시 정동면 대곡리 301-2,,,단감+밤,2005,055-852-8911,경상남도 사천시청,2025-08-14,5340000,경상남도 사천시
금강농협,강원특별자치도 고성군 간성읍 흘리길 169,강원특별자치도 고성군 간성읍 흘리 43-3,38.26610371,128.372768,피망,2003,,강원특별자치도 고성군,2023-08-29,4341000,강원특별자치도 고성군
금강농협,강원특별자치도 고성군 간성읍 흘리길 128-85,강원특별자치도 고성군 간성읍 흘리 32-114,38.26448454,128.3666309,피망,2017,,강원특별자치도 고성군,2023-08-29,4341000,강원특별자치도 고성군
내촌농협 농산물산지유통센터,강원특별자치도 홍천군 내촌면 아홉사리로 1062,,,,오이+애호박+풋고추,2006,033-430-3711,강원특별자치도 홍천군청,2023-10-05,4251000,강원특별자치도 홍천군
영귀미농협 사과선별장,강원특별자치도 홍천군 영귀미면 수타사로 3,,,,사과,2020,033-436-6055,강원특별자치도 홍천군청,2023-10-05,4251000,강원특별자치도 홍천군
서석농협 제1산지유통센터,강원특별자치도 홍천군 서석면 구룡령로 2431,,,,오이+애호박+풋고추+방울토마토,2008,033-433-4019,강원특별자치도 홍천군청,2023-10-05,4251000,강원특별자치도 홍천군
서석농협 제2산지유통센터,강원특별자치도 홍천군 서석면 구룡령로 2427,,,,오이+애호박+풋고추+방울토마토,2013,033-433-4019,강원특별자치도 홍천군청,2023-10-05,4251000,강원특별자치도 홍천군
서홍천농협 찰옥수수공선장,강원특별자치도 홍천군 남면 시동안로227,,,,찰옥수수,2014,033-432-5009,강원특별자치도 홍천군청,2023-10-05,4251000,강원특별자치도 홍천군
내면농협 제1농산물산지유통센터,강원특별자치도 홍천군 내면 구룡령로 5274-7,,,,감자+상추+알배기,1998,033-432-2907,강원특별자치도 홍천군청,2023-10-05,4251000,강원특별자치도 홍천군
내면농협 제2농산물산지유통센터,강원특별자치도 홍천군 내면 대한동길 26,,,,오이+풋고추+쥬키니,2012,033-432-2901,강원특별자치도 홍천군청,2023-10-05,4251000,강원특별자치도 홍천군
안양골영농조합,충청남도 천안시 서북구 성환읍 신방로 302-19,,,,배,2001,041-582-4991,충청남도 천안시청,2024-12-16,4490000,충청남도 천안시
영농조합법인그린농산,충청남도 천안시 동남구 성남면 성남로 277,,,,느타리버섯+표고버섯,2018,041-566-0062,충청남도 천안시청,2024-12-16,4490000,충청남도 천안시
입장농협 산지유통센터,충청남도 천안시 서북구 입장면 입장로 217,,,,포도+양파,2017,041-585-5830,충청남도 천안시청,2024-12-16,4490000,충청남도 천안시
직산농협 농산물산지유통센터,충청남도 천안시 서북구 직산읍 천안밸리로 7,,,,배+포도,2009,041-583-3751,충청남도 천안시청,2024-12-16,4490000,충청남도 천안시
천안배원예농협 농산물산지유통센터,충청남도 천안시 서북구 성환읍 연암율금로 129,,,,배+사과+포도,1994,041-581-1416,충청남도 천안시청,2024-12-16,4490000,충청남도 천안시
보은군 과수거점산지유통센터,충청북도 보은군 삼승면 송죽길 66,충청북도 보은군 삼승면 우진리 678-4,36.43135341,127.7315989,사과+복숭아,2023,043-540-3332,충청북도 보은군,2024-11-27,4420000,충청북도 보은군
화성시 농산물 산지유통센터(APC),경기도 화성시 팔탄면 푸른들판로 526,경기도 화성시 팔탄면 구장리 391-5,37.155556,126.9000261,마늘+감자+양파+대파+양배추,2022,031-5180-7810,(재)화성푸드통합지원센터,2025-05-31,5530000,경기도 화성시
삼척농협농산물산지유통센터,강원특별자치도 삼척시 하장면 백두대간로 2677,강원특별자치도 삼척시 하장면 장전리 86-3,37.35453622,128.9266089,브로콜리+산나물+양배추+샐러리+사과+풋고추+아스파라거스,2011,033-552-0040,강원특별자치도 삼척시청,2025-06-10,4241000,강원특별자치도 삼척시
도계농협농산물산지유통센터,강원측별자치도 삼척시 도계읍 늑구점리길 27-21,강원특별자치도 삼척시 도계읍 늑구리 151-7번지 외 3필지,37.257728,129.056809,개두릅+참두릅,2025,033-541-0389,강원특별자치도 삼척시청,2025-06-10,4241000,강원특별자치도 삼척시
수동농협APC,경상남도 함양군 수동면 수남로 106,경상남도 함양군 수동면 화산리 533-1,35.52467671,127.801894,양파+사과,2007,055-960-8322,경상남도 함양군청,2025-06-25,5460000,경상남도 함양군
안의농협APC,경상남도 함양군 안의면 광풍로 82-28,경상남도 함양군 안의면 이전리 269,35.6235489,127.809264,사과,2008,055-960-8322,경상남도 함양군청,2025-06-25,5460000,경상남도 함양군
마천농협APC,경상남도 함양군 마천면 천왕봉로 1162-3,경상남도 함양군 마천면 가흥리 589,35.3967219,127.6663913,가지,2020,055-960-8322,경상남도 함양군청,2025-06-25,5460000,경상남도 함양군
함양양파영농조합법인,경상남도 함양군 유림면 천왕봉로 3018,경상남도 함양군 유림면 화촌리 20-5,35.47857376,127.7962814,양파,1996,055-960-8322,경상남도 함양군청,2025-06-25,5460000,경상남도 함양군
제천시 농산물산지유통센터,충청북도 제천시 수산면 월악로 2749,충청북도 제천시 수산면 적곡리 289-13,,,사과+브로콜리,2005,043-653-9801,남제천농업협동조합,2025-07-08,4400000,충청북도 제천시
백운농협 농산물산지유통센터,충청북도 제천시 백운면 금봉로 16,충청북도 제천시 백운면 평동리 236,,,사과+감자,2010,043-652-6611,백운농업협동조합,2025-07-08,4400000,충청북도 제천시
아산원예농협 거점 산지유통센터,충청남도 아산시 염치읍 충무로 358번길 11,충청남도 아산시 염치읍 방현리 343,36.81275837,127.00670642,배+사과,2012,041-532-4853,충청남도 아산시,2025-09-01,4520000,충청남도 아산시
둔포농협 산지유통센터,충청남도 아산시 둔포면 아산밸리북로 41,충청남도 아산시 둔포면 둔포리 76-4,36.92754755,127.05227910,배,2014,041-531-3135,충청남도 아산시,2025-09-01,4520000,충청남도 아산시
음봉농협 산지유통센터,충청남도 아산시 음봉면 월암로 489,충청남도 아산시 음봉면 쌍룡리 55-5,36.87924238,127.07496390,배,2005,041-546-8270,충청남도 아산시,2025-09-01,4520000,충청남도 아산시
제주감귤농업협동조합 (거점)농산물산지유통센터(3유통),제주특별자치도 서귀포시 1100로 120,제주특별자치도 서귀포시 회수동 733,33.25836572,126.4400468,감귤류,2009,064-739-6781,제주특별자치도청(감귤유통과),2024-06-24,6520000,제주특별자치도 서귀포시
제주감귤농업협동조합 (거점)농산물산지유통센터(6유통),제주특별자치도 서귀포시 남원읍 위미대성로 24,제주특별자치도 서귀포시 남원읍 위미리 1444,33.279997,126.6690937,감귤류,2013,064-764-1103,제주특별자치도청(감귤유통과),2024-06-24,6520000,제주특별자치도 서귀포시
제주감귤농업협동조합 농산물산지유통센터(9유통),제주특별자치도 서귀포시 표선면 돈오름로 121,제주특별자치도 서귀포시 표선면 표선리 2775,33.33226097,126.811214,감귤류,2012,064-787-8835,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
더푸른채 영농조합법인,제주특별자치도 서귀포시 성산읍 금백조로 145,제주특별자치도 서귀포시 성산읍 수산리 2797-1,33.43801345,126.8578828,무,2010,064-783-0380,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
삼다감귤영농조합법인,제주특별자치도 서귀포시 효돈순환로 296,제주특별자치도 서귀포시 하효동 753,33.25965221,126.6148258,감귤류,2012,064-733-0561,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
신산농산물유통영농조합법인,제주특별자치도 서귀포시 성산읍 독자봉로 51번길 16,제주특별자치도 서귀포시 성산읍 신산리 1326-1,33.38187104,126.8723644,무,1997,064-783-2288,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
위미농업협동조합 (거점) 농산물산지유통센터,제주특별자치도 서귀포시 남원읍 하례로 552,제주특별자치도 서귀포시 남원읍 하례리 1185-1,33.29555404,126.6174055,감귤류,2014,064-732-1042,제주특별자치도청(감귤유통과),2024-06-24,6520000,제주특별자치도 서귀포시
신효월라봉영농조합법인,제주특별자치도 서귀포시 월라봉로 76-8,제주특별자치도 서귀포시 신효동 1207-1,33.26793974,126.6028879,감귤류,2004,064-764-4052,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
제주키위영농조합법인 농산물산지유통센터,제주특별자치도 서귀포시 남원읍 남위남성로 213번길 119-86,제주특별자치도 서귀포시 남원읍 남원리 2270,33.28194729,126.6969554,참다래,2015,064-764-7650,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
서귀포한라영농조합법인 농산물산지유통센터,제주특별자치도 서귀포시 516로 575,제주특별자치도 서귀포시 상효동 1124,33.30018878,126.5990716,감귤류,2015,064-733-6707,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
남원농업협동조합 (거점)농산물산지유통센터,제주특별자치도 서귀포시 남원읍 태신로 106,제주특별자치도 서귀포시 남원읍 태흥리 674,33.29530731,126.7443799,감귤류,2013,064-764-9926,제주특별자치도청(감귤유통과),2024-06-24,6520000,제주특별자치도 서귀포시
중문농업협동조합 (거점)농산물산지유통센터,제주특별자치도 서귀포시 색달로 166,제주특별자치도 서귀포시 색달동 1739-1,33.26071757,126.4212771,감귤류,2010,064-738-4188,제주특별자치도청(감귤유통과),2024-06-24,6520000,제주특별자치도 서귀포시
서귀포농업협동조합 (거점)농산물산지유통센터,제주특별자치도 서귀포시 중산간동로 7800-9,제주특별자치도 서귀포시 토평동 2157,33.26888051,126.5828471,감귤류,2009,064-733-4771,제주특별자치도청(감귤유통과),2024-06-24,6520000,제주특별자치도 서귀포시
안덕농업협동조합 농산물산지유통센터,제주특별자치도 서귀포시 안덕면 화순중앙로 12번길 30-5,제주특별자치도 서귀포시 안덕면 화순리 1160-9,33.25024943,126.3310769,감귤류+콩,2012,064-794-0929,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
대정농업협동조합 농산물산지유통센터,제주특별자치도 서귀포시 대정읍 노을해안로 23,제주특별자치도 서귀포시 대정읍 일과리 1395,33.24190904,126.2262695,마늘+감자,2009,064-794-8506,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
효돈농업협동조합 농산물산지유통센터,제주특별자치도 서귀포시 칠십리로 712,제주특별자치도 서귀포시 하효동 855,33.2556595,126.6179008,감귤류,1994,064-767-0391,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
위미농업협동조합 농산물산지유통센터,제주특별자치도 서귀포시 남원읍 위미항구로 217,제주특별자치도 서귀포시 남원읍 위미리 3924-1,33.29273082,126.6513788,감귤류,2014,064-764-1036,제주특별자치도 서귀포시청(감귤농정과),2024-06-24,6520000,제주특별자치도 서귀포시
곤명농협농산물산지유통센터,경상남도 사천시 곤명면 봉명로 493,경상남도 사천시 곤명면 봉계리 181-3,,,딸기+방울토마토,2019,055-854-7004,경상남도 사천시청,2025-08-14,5340000,경상남도 사천시
북신안농업협동조합,전라남도 신안군 지도읍 지도증도로 1,전라남도 신안군 지도읍 읍내리 349-1,35.05775284,126.2054625,양파+마늘+양배추,2012,061-275-0405,전라남도 신안군청,2025-08-12,5010000,전라남도 신안군
남신안농협장산지점,전라남도 신안군 장산면 아미산길 8,전라남도 신안군 장산면 도창리 704,34.64187181,126.1472844,양파+마늘+양배추,2008,061-275-4013,전라남도 신안군청,2025-08-12,5010000,전라남도 신안군
목포신안군농협조합공동사업법인,전라남도 신안군 압해읍 회룡길 51-113,전라남도 신안군 압해읍 신용리 697,34.87527731,126.2941159,양파,2008,061-246-0057,전라남도 신안군청,2025-08-12,5010000,전라남도 신안군
신안농업협동조합,전라남도 신안군 암태면 장단고길 7-1,전라남도 신안군 암태면 단고리 26-1,34.82885726,126.1134682,양파+마늘,2014,061-271-4005,전라남도 신안군청,2025-08-12,5010000,전라남도 신안군
압해농업협동조합,전라남도 신안군 압해읍 압해로 874,전라남도 신안군 압해읍 학교리 615-1,34.86561351,126.3136353,양파+마늘,2008,061-271-0515,전라남도 신안군청,2025-08-12,5010000,전라남도 신안군
임자농업협동조합,전라남도 신안군 임자면 진리길 9,전라남도 신안군 임자면 진리 684,35.08522873,126.1115422,깐대파+저장양파,2017,061-275-3018,전라남도 신안군청,2025-08-12,5010000,전라남도 신안군
비금농업협동조합,전남남도 신안군 비금면 읍동길 74,전라남도 신안군 비금면 덕산리 11-3,34.75879929,125.9293037,시금치,2008,061-246-0057,전라남도 신안군청,2025-08-12,5010000,전라남도 신안군
농업회사법인산과바다유한회사,전라남도 신안군 압해읍 용강길 49-2,전라남도 신안군 압해읍 분매리 139-23,34.85653691,126.3285457,양파+마늘,2016,061-246-3336,전라남도 신안군청,2025-08-12,5010000,전라남도 신안군
농산물종합유통센터,전북특별자치도 고창군 녹두로 1265,전북특별자치도 고창군 고창읍 덕산리 850,35.434781,126.6840997,고구마+배+수박,2005,063-560-2534,전북특별자치도 고창군,2024-06-26,4781000,전북특별자치도 고창군
상주원예영농조합법인,경상북도 상주시 경상대로 3219,경상북도 상주시 만산동 273-1,36.43441798,128.1524178,오이,2015,054-534-0431,경상북도 상주시청,2025-06-19,5110000,경상북도 상주시
서상주농업협동조합,"경상북도 상주시 모동면 중화로 516,",경상북도 상주시 모동면 이동리 775,36.31017544,127.962463,포도,2017,054-533-4016,경상북도 상주시청,2025-06-19,5110000,경상북도 상주시
해도지영농조합법인,경상북도 상주시 공검면 북상주로 1127,경상북도 상주시 공검면 화동리 466-16,36.51965725,128.1636322,"감자, 당근, 고구마",2006,054-541-8833,경상북도 상주시청,2025-06-19,5110000,경상북도 상주시
외서농업협동조합,경상북도 상주시 우산로 817,경상북도 상주시 외서면 연봉리 515-3,36.497997,128.176671,"배, 포도",1993,054-541-3077,경상북도 상주시청,2025-06-19,5110000,경상북도 상주시
중화농업협동조합,경상북도 상주시 화서면 화령로 76,경상북도 상주시 화서면 신봉리 175-2,36.44531887,127.9509308,포도,2018,054-533-0206,경상북도 상주시청,2025-06-19,5110000,경상북도 상주시
함창농업협동조합,경상북도 상주시 함창읍 용곡로 18,경상북도 상주시 함창읍 오사리 44,36.5600502,128.176377,"오이, 양파, 감자",2013,054-541-2481,경상북도 상주시청,2025-06-19,5110000,경상북도 상주시
서북부경남 과수거점산지유통센터,경상남도 거창군 거창읍 거함대로 3372,경상남도 거창군 거창읍 대평리 1347,35.6758035,127.926212,사과+딸기+포도,2009,055-945-3203,경상남도 거창군청,2025-06-01,5470000,경상남도 거창군
영천농협화남APC,경상북도 영천시 화남면 천문로 1587,,36.05904096,128.8911834,과수,,054-337-9201,경상북도 영천시청,2025-07-07,5100000,경상북도 영천시
청우영농조합법인,경상북도 영천시 청통면 청통초등길 8,,35.99121463,128.8238986,양파,,054-336-1414,경상북도 영천시청,2025-07-07,5100000,경상북도 영천시
삼진영농조합법인,경상북도 영천시 신녕면 관기길 66,,36.04196457,128.7955754,양파,,054-334-8392,경상북도 영천시청,2025-07-07,5100000,경상북도 영천시
동고성농협 농산물산지유통센터,경상남도 고성군 영오면 영회로 477,경상남도 고성군 영오면 성곡리 342-4,,,파프리카,,,경상남도 고성군청,2025-07-31,5420000,경상남도 고성군
경북통상 농산물 산지유통센터,경상북도 경산시 진량읍 현내길 76-6,경상북도 경산시 진량읍 현내리 433-1,,,사과+배+파프리카,2008,053-851-8880,경북통상(주),2025-07-30,5130000,경상북도 경산시
경산농협 농산물 산지유통센터,경상북도 경산시 중방로 103,경상북도 경산시 계양동 262-6,,,복숭아+포도,2008,053-812-7732,경산농업협동조합,2025-07-30,5130000,경상북도 경산시
자인농협 농산물 산지유통센터,경상북도 경산시 자인면 계남길 7,경상북도 경산시 자인면 서부리 310,,,복숭아+포도,2009,053-857-2310,자인농업협동조합,2025-07-30,5130000,경상북도 경산시
주촌농협 APC,경상남도 김해시 주촌면 서부로1430번길 19,경상남도 김해시 주촌면 내삼리 794-10,35.22493221,128.8208948,파프리카+단감,2000,055-329-1801,주촌농협,2025-07-28,5350000,경상남도 김해시
생림농협 APC,경상남도 김해시 생림면 마사로 454,경상남도 김해시 생림면 마사리 1522-5,35.37318066,128.8249109,감자+블루베리,2005,055-323-9900,생림농협,2025-07-28,5350000,경상남도 김해시
대동농협 APC,경상남도 김해시 대동면 동남로49번길 87,경상남도 김해시 대동면 초정리 139-1,35.23591329,128.9847331,당근+산딸기+블루베리,2008,055-335-7711,대동농협,2025-07-28,5350000,경상남도 김해시
경남단감원예농협 APC,경상남도 김해시 진영읍 한림로 1114,경상남도 김해시 진영읍 본산리 1600,35.32697139,128.7460036,단감+풋고추+당근,2011,055-343-2020,경남단감원예농협,2025-07-28,5350000,경상남도 김해시
진영농협 APC,경상남도 김해시 진영읍 진산대로 127,경상남도 김해시 진영읍 진영리 1014,35.3172364,128.7268289,단감+당근,2019,055-345-7711,진영농협,2025-07-28,5350000,경상남도 김해시
예천농협 농산물유통사업소,경상북도 예천군 예천읍 역전길 16,경상북도 예천군 예천읍 서본리 214-1,36.64842596,128.4451762,잡곡류,1998,054-655-0976,경상북도 예천군청,2025-07-11,5230000,경상북도 예천군
예천군농산물산지유통센터,경상북도 예천군 개포면 예지로 1226,경상북도 예천군 개포면 경진리 37-1,36.6182436,128.4198471,사과+복숭아+토마토,2014,054-654-0980,경상북도 예천군청,2025-07-11,5230000,경상북도 예천군
대경사과원농협 예천사과유통센터,경상북도 예천군 예천읍 충효로 556,경상북도 예천군 예천읍 우계리 384-1,36.67084778,128.4633483,사과,2013,054-654-4150,경상북도 예천군청,2025-07-11,5230000,경상북도 예천군
만인산농협 산지유통센터,충청남도 금산군 추부면 서대산로 400-6,충청남도 금산군 추부면 요광리 200,36.21740131,127.4942924,깻잎+상추 등 쌈채소,2018,041-753-9282,충청남도 금산군청 및 만인산농협,2025-07-08,4550000,충청남도 금산군
금산농협,충청남도 금산군 남이면 비실길 15,충청남도 금산군 남이면 성곡리 636,36.07236631,127.4883333,깻잎,2012,041-751-9267,충청남도 금산농협,2025-07-08,4550000,충청남도 금산군
남제천농협 농산물산지유통센터,충청북도 제천시 덕산면 약초로 50-3,충청북도 제천시 덕산면 도전리 831,,,과수+양채,2020,043-653-9801,남제천농업협동조합,2025-07-08,4400000,충청북도 제천시
농업회사법인현대유통,전라남도 신안군 압해읍 압해로 980-11,전라남도 신안군 압해읍 동서리 471,34.86423502,126.3051261,양파,2015,061-243-1936,전라남도 신안군청,2025-08-12,5010000,전라남도 신안군
부여농협 농산물유통센터,충청남도 부여군 부여읍 백제문화로 16,충청남도  부여군 부여읍 석목리 143-7,36.2845027529,126.9307253123,수박+멜론,2018,041-835-8008,충청남도 부여군청,2025-08-01,4570000,충청남도 부여군
규암농협 농산물유통센터,충청남도 부여군 규암면 흥수로 700,충청남도  부여군 규암면 합송리 6-1,36.2679192333,126.8601514121,수박+멜론,2008,041-836-0184,충청남도 부여군청,2025-08-01,4570000,충청남도 부여군
서부여농협 농산물유통센터,충청남도 부여군 홍산면 팔충로 52,충청남도 부여군 홍산면 남촌리 417-3,36.2060510463,126.7623684564,수박+딸기,2013,041-835-8885,충청남도 부여군청,2025-08-01,4570000,충청남도 부여군
장암농협 농산물유통센터,충청남도 부여군 장암면 장암로 14,충청남도 부여군 장암면 석동리 662-1,36.2435512022,126.8842776414,수박  풋고추,2008,041-834-2284,충청남도 부여군청,2025-08-01,4570000,충청남도 부여군
중원농협 산지유통센터,충청북도 충주시 동량면 동산로 299,충청북도 충주시 동량면 조동리 1077-3,37.045625,127.9725634,사과,,,충청북도 충주시청,2025-07-31,4390000,충청북도 충주시
동충주농협 산지유통센터,충청북도 충주시 엄정면 동막강현길 279,충청북도 충주시 엄정면 논강리 383,37.091115,127.9023388,사과+복숭아,,,충청북도 충주시청,2025-07-31,4390000,충청북도 충주시
수안보농협 산지유통센터,충청북도 충주시 수안보면 수회리로 174,충청북도 충주시 수안보면 수회리1,36.8794322,127.9768939,복숭아,,,충청북도 충주시청,2025-07-31,4390000,충청북도 충주시
진주원예농협산지유통센터,경상남도 진주시 문산읍 월아산로 949,경상남도 진주시 문산읍 이곡리 1143,35.15620555,128.1627452,딸기+고추+파프리카+배,2020,055-761-8487,경상남도 진주시청,2025-08-06,5310000,경상남도 진주시
영주농산물유통센터,경상북도 영주시 봉현면 소백로 1693,,36.85272263,128.5265193,사과+배+자두,2007,054-630-9000,경상북도 영주시청,2025-07-30,5090000,경상북도 영주시
농업회사법인참사랑친환경㈜,충청남도 보령시 청라면 상중길 32-10,충청남도 보령시 청라면 나원리 869,36.38747632,126.6774999509,버섯(양송이),1997,,충청남도 보령시청,2025-07-15,4510000,충청남도 보령시
백제농산영농조합법인,충청남도 보령시 웅천읍 무창포로 300,충청남도 보령시 웅천읍 관당리 10-12,36.24683284,126.5582857,산채류,2014,,충청남도 보령시청,2025-07-15,4510000,충청남도 보령시
영광농협농산물산지유통센터,전라남도 영광군 군서면 신남로 37,전라남도 영광군 군서면 마읍리 2-13,35.27550095,126.4861548,고구마+양파+고추,2010,061-350-5424,전라남도 영광군 농업유통과,2025-12-04,4970000,전라남도 영광군
동춘천농협 산지유통센터,강원특별자치도 춘천시 동내면 향군길 7,강원특별자치도 춘천시 동내면 신촌리 389-1,37.848090,127.762890,복숭아,2008,033-261-8903,강원특별자치도 춘천시청,2025-11-25,4181000,강원특별자치도 춘천시
서춘천농협 산지유통센터,강원특별자치도 춘천시 서면 서상로 151,강원특별자치도 춘천시 서면 서상리 1204,37.931902,127.698923,감자,2007,033-243-8011,강원특별자치도 춘천시청,2025-11-25,4181000,강원특별자치도 춘천시
신북농협 산지유통센터,강원특별자치도 춘천시 신북읍 율문길 71,강원특별자치도 춘천시 신북읍 율문리 551-1,37.925795,127.745627,토마토+방울토마토+오이+호박,1998,033-243-9700,강원특별자치도 춘천시청,2025-11-25,4181000,강원특별자치도 춘천시
춘천농협 산지유통센터,강원특별자치도 춘천시 신동로 113,강원특별자치도 춘천시 신동 438-2,37.929103,127.734456,토마토+방울토마토+호박,2009,033-243-8310,강원특별자치도 춘천시청,2025-11-25,4181000,강원특별자치도 춘천시
춘천원예농협 산지유통센터,강원특별자치도 춘천시 영서로 2926,강원특별자치도 춘천시 사농동 155,37.913564,127.723184,멜론,2010,033-251-4686,강원특별자치도 춘천시청,2025-11-25,4181000,강원특별자치도 춘천시
농업회사법인탐진들㈜,전라남도 강진군 강진읍 남당로 97-49,전라남도 강진군 강진읍 목리 429-1,34.624253,126.7755621,파프리카,2015,061-434-5877,전라남도 강진군청,2025-11-26,4920000,전라남도 강진군
강릉농협농산물산지유통센터,강원특별자치도 강릉시 유산로 11-10,,,,감자+배추+무,1998,033-646-4864,강원특별자치도 강릉시농업기술센터 유통,2025-11-25,4201000,강원특별자치도 강릉시
청송사과유통센터 주왕산 APC,경상북도 청송군 주왕산면 주왕산로 448,경상북도 청송군 주왕산면 하의리 690-1,36.37935154,129.1040987,사과,,054-874-4040,청송사과유통센터 주왕산 APC,2025-11-18,5160000,경상북도 청송군
청송사과유통센터 현동 APC,경상북도 청송군 현동면 새마을로 5424,경상북도 청송군 현동면 거성리 449,36.2835222,129.0203036,사과,,054-874-1674,청송사과유통센터 현동 APC,2025-11-18,5160000,경상북도 청송군
청송농협 APC,경상북도 청송군 진보면 경동로 4171,경상북도 청송군 진보면 진안리 447,36.52760361,129.041619,사과,,054-873-5906,청송농협 APC,2025-11-18,5160000,경상북도 청송군
남청송농협 APC,경상북도 청송군 안덕면 성덕댐로 1737,경상북도 청송군 안덕면 복리 460-2,36.28410729,128.9552254,사과,,054-872-1765,남청송농협 APC,2025-11-18,5160000,경상북도 청송군
현서농협 APC,경상북도 청송군 현서면 청송로 1063,경상북도 청송군 현서면 구산리 234-1,36.26858402,128.8981377,사과,,054-872-5712,현서농협 APC,2025-11-18,5160000,경상북도 청송군
대구경북능금농협(청송) APC,경상북도 청송군 주왕산면 마뜰길 133,경상북도 청송군 주왕산면 지리 230-6,36.37424272,129.0896391,사과,,054-872-4100,대구경북능금농협(청송) APC,2025-11-18,5160000,경상북도 청송군
